SurveyID,Age,Gender,Type,Education,Income,Employed,@1OwnCell,@2UsedCell,@3OwnHousePhone,@4UseFreq
W294,75.0,2,1,3,1.0,1.0,1.0,1.0,2.0,7.0
W029,76.0,2,1,2,1.0,2.0,12.0,12.0,1.0,4.0
W047,76.0,2,1,1,3.0,2.0,30.0,30.0,1.0,5.0
W209,76.0,2,1,1,5.0,2.0,10.0,10.0,1.0,7.0
W265,76.0,2,1,3,2.0,2.0,3.0,3.0,1.0,7.0
W275,78.0,2,1,3,1.0,2.0,8.0,8.0,1.0,6.0
W028,80.0,2,1,2,2.0,2.0,8.0,8.0,1.0,5.0
W276,85.0,1,1,4,1.0,2.0,2.0,2.0,1.0,6.0
S33,90.0,2,1,2,1.0,2.0,,,1.0,1.0
W281,90.0,1,1,2,1.0,2.0,5.0,5.0,1.0,6.0
